,count,mean,std,min,50%,max,,,,,,,
奇幻,485,9.043505155,0.983806952,2.4,9.4,9.9,,,评价指标,MAE,RMSE,MAPE,R2
热血,391,9.106649616,0.956171199,3.2,9.4,9.9,,,训练集,0.2513,0.4208,3.3535,0.8026
日常,381,9.318110236,0.700535583,2.6,9.5,9.9,,,测试集,0.4749,0.8248,6.6695,0.3519
科幻,341,9.020527859,1.060211279,3.2,9.4,9.9,,,,,,,
战斗,283,8.677031802,1.407805881,2.4,9.2,9.9,,,,,,,
萌系,253,9.339920949,0.776098296,2.6,9.5,9.9,,,,,,,
搞笑,243,9.356378601,0.601642425,4.4,9.5,9.9,,,,,,,
治愈,226,9.43539823,0.492417231,5.5,9.6,9.9,,,,,,,
漫画改,213,9.148356808,0.978475723,3.7,9.5,9.9,,,,,,,
校园,173,9.20867052,0.817600695,4.4,9.5,9.9,,,,,,,
其他,1346,9.080683507,1.024886528,2.4,9.4,9.9,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
